
# QPROP Version 1.22
# 
# APC 5x4E X-Prop                                                                 
# 
# T-motor F40                                                                     
#   0.82000E-01  Rmotor (Ohms)                  
#   0.70000      Io     (Amps)                  
#    1600.0      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    1.000  0.3100E+05  0.000   22.75      0.2483       805.9      22.843   42.2953   0.8341   0.0282   0.00485  0.6900E-01  0.1186E-01  53.1569   0.0235   966.2       22.75       1.0875  0.2278E-01
    3.000  0.3100E+05  0.000   22.24      0.2473       802.8      22.830   42.1347   0.8346   0.0831   0.01455  0.6746E-01  0.1181E-01  50.6260   0.0694   961.9       66.73       1.0599  0.2143E-01
    5.000  0.3100E+05  0.000   21.69      0.2456       797.3      22.807   41.8529   0.8353   0.1360   0.02426  0.6579E-01  0.1173E-01  48.1109   0.1136   954.5       108.5       1.0298  0.2003E-01
    7.000  0.3100E+05  0.000   21.10      0.2436       790.7      22.779   41.5100   0.8362   0.1868   0.03396  0.6399E-01  0.1163E-01  45.6136   0.1562   945.6       147.7       0.9978  0.1914E-01
    9.000  0.3100E+05  0.000   20.47      0.2409       782.0      22.742   41.0629   0.8374   0.2355   0.04366  0.6208E-01  0.1151E-01  43.1426   0.1972   933.9       184.2       0.9639  0.1824E-01
   11.000  0.3100E+05  0.000   19.79      0.2376       771.4      22.697   40.5165   0.8389   0.2822   0.05336  0.6003E-01  0.1135E-01  40.6902   0.2367   919.6       217.7       0.9279  0.1762E-01
   13.000  0.3100E+05  0.000   19.08      0.2338       759.1      22.645   39.8811   0.8406   0.3267   0.06306  0.5786E-01  0.1117E-01  38.2617   0.2746   903.1       248.0       0.8901  0.1737E-01
   15.000  0.3100E+05  0.000   18.34      0.2296       745.4      22.587   39.1715   0.8425   0.3691   0.07277  0.5563E-01  0.1097E-01  35.8832   0.3110   884.8       275.1       0.8516  0.1715E-01
   17.000  0.3100E+05  0.000   17.59      0.2249       730.1      22.522   38.3833   0.8446   0.4095   0.08247  0.5334E-01  0.1074E-01  33.5553   0.3459   864.5       299.0       0.8125  0.1695E-01
   19.000  0.3100E+05  0.000   16.81      0.2197       713.2      22.451   37.5122   0.8469   0.4479   0.09217  0.5099E-01  0.1049E-01  31.2786   0.3793   842.2       319.5       0.7726  0.1678E-01
   21.000  0.3100E+05  0.000   16.02      0.2140       694.7      22.372   36.5536   0.8494   0.4842   0.10187  0.4858E-01  0.1022E-01  29.0536   0.4113   817.8       336.4       0.7321  0.1663E-01

    1.000  0.3150E+05  0.000   23.54      0.2569       847.4      23.275   43.7441   0.8323   0.0278   0.00477  0.6915E-01  0.1188E-01  54.0898   0.0231   1018.       23.54       1.0900  0.2260E-01
    3.000  0.3150E+05  0.000   23.03      0.2559       844.2      23.261   43.5801   0.8328   0.0818   0.01432  0.6764E-01  0.1184E-01  51.5582   0.0681   1014.       69.08       1.0628  0.2126E-01
